01-11-001,J_B,improved performance,6,gestures improved performance in spatial visualization problems
01-11-001,J_T,enhance performance,6,We concluded that gestures enhance performance on spatial visualization tasks
01-11-001,P,helps us to,6,Gesturing with our hands helps us to solve spatial visualisation problems
01-11-002,J_B,associated,2,bereavement is associated with reduced neutrophil bactericidal function
01-11-002,J_T,significantly reduced,2,Neutrophil superoxide production was significantly reduced among the bereaved
01-11-002,P,lowers,6,suggest that bereavement lowers physical immunity
01-11-002,telegraph,can lead to,5,losing a loved one can lead to parts of the immune system being suppressed
01-11-002,mail_online,weakens,6,intense grief weakens the body's immune system
01-11-003,J_B,high levels,3,high levels of inappropriate calls
01-11-003,J_T,inappropriate,3,inappropriate classification
01-11-003,P,lack,3,There was a lack of understanding
01-11-006,J_T,depends on early reduction,6,recovery of renal function in myeloma kidney depends on early reduction of serum FLCs
01-11-006,P,facilitate,6,21 day treatment threshold to facilitate renal recovery
01-11-007,J_B,TLA-4 molecule plays a critical role,6,CTLA-4 molecule plays a critical role in suppressing autoimmunity and maintaining immune homeostasis
01-11-007,J_T,inhibit,6,CTLA-4 acts as an effector molecule to inhibit
01-11-007,P,prevents,6,prevents inappropriate aggressive behaviour from T cells
01-11-008,J_B,decreases,6,decreases later food intake
01-11-008,J_T,can reduce,5,can reduce later intake
01-11-008,P,can reduce,5,can reduce snacking in the afternoon
01-11-009,J_B,does not result in a significant increase,1,caesarean section by clinical officers does not result in a significant increase in maternal or perinatal mortality significant increase.
01-11-009,J_T,did not differ significantly,1,Clinical officers and doctors did not differ significantly in key outcomes for caesarean section significantly.
01-11-009,P,no significant extra risk f,1,countries who give birth by caesarean section are at no significant extra risk from having the procedure carried out by non-physician clinicians
01-11-010,J_B,increased risk,6,Survivors of childhood cancer are at increased risk of developing subsequent primary neoplasms  of developing.
01-11-010,J_T,associated,2,the greatest excess risk associated with subsequent primary neoplasms at older than 40 years was for digestive and genitourinary neoplasms
01-11-010,P,greater risk,6,Childhood cancer survivors at greater risk in middle age
01-11-011,J_B,elevation of risk,6,this elevation of risk in those born preterm/LBW extends to psychiatric illness of risk...
01-11-011,P,risk,6,Premature babies risk mental health problems
01-11-012,J_T,revealed,6,these studies revealed that the outbreak strain belonged to
01-11-012,P,enabled the characterisation,6,has enabled the characterisation of the deadly strain of E. coli
01-11-013,J_B,is,6,"...Pulse oximetry is a safe, non-invasive, feasible, and reasonably accurate test..."
01-11-013,J_T,identifies,6,...It identifies cases of critical congenital heart defects that go undetected with antenatal ultrasonography...
01-11-013,P,has been shown to identify,6,...A simple test to measure blood oxygen in newborns has been shown to identify babies with life-threatening congenital heart defects...
